front,back
"to go, je ____",je vais
"to go, tu ____",tu vas
"to go, il/elle/on ____",il/elle/on va
"to go, nous ____",nous allons
"to go, vous ____",vous allez
"to go, ils/elles ____",ils/elles vont
"to go, infinitive ____",aller
"to have, je ____",j'ai
"to have, tu ____",tu as
"to have, il/elle/on ____",il/elle/on a
"to have, nous ____",nous avons
"to have, vous ____",vous avez
"to have, ils/elles ____",ils/elles ont
"to have, infinitive ____",avoir
"to drink, je ____",je bois
"to drink, tu ____",tu bois
"to drink, il/elle/on ____",il/elle/on boit
"to drink, nous ____",nous buvons
"to drink, vous ____",vous buvez
"to drink, ils/elles ____",ils/elles boivent
"to drink, infinitive ____",boire
"to drive, je ____",je conduis
"to drive, tu ____",tu conduis
"to drive, il/elle/on ____",il/elle/on conduit
"to drive, nous ____",nous conduisons
"to drive, vous ____",vous conduisez
"to drive, ils/elles ____",ils/elles conduisent
"to drive, infinitive ____",conduire
"to know of (a person/a place), je ____",je connais
"to know of (a person/a place), tu ____",tu connais
"to know of (a person/a place), il/elle/on ____",il/elle/on connaît
"to know of (a person/a place), nous ____",nous connaissons
"to know of (a person/a place), vous ____",vous connaissez
"to know of (a person/a place), ils/elles ____",ils/elles connaissent
"to know of (a person/a place), infinitive ____",connaître
"to run, je ____",je cours
"to run, tu ____",tu cours
"to run, il/elle/on ____",il/elle/on court
"to run, nous ____",nous courons
"to run, vous ____",vous courez
"to run, ils/elles ____",ils/elles courent
"to run, infinitive ____",courir
"to believe, je ____",je crois
"to believe, tu ____",tu crois
"to believe, il/elle/on ____",il/elle/on croit
"to believe, nous ____",nous croyons
"to believe, vous ____",vous croyez
"to believe, ils/elles ____",ils/elles croient
"to believe, infinitive ____",croire
"to have to / must, je ____",je dois
"to have to / must, tu ____",tu dois
"to have to / must, il/elle/on ____",il/elle/on doit
"to have to / must, nous ____",nous devons
"to have to / must, vous ____",vous devez
"to have to / must, ils/elles ____",ils/elles doivent
"to have to / must, infinitive ____",devoir
"to say / to tell, je ____",je dis
"to say / to tell, tu ____",tu dis
"to say / to tell, il/elle/on ____",il/elle/on dit
"to say / to tell, nous ____",nous disons
"to say / to tell, vous ____",vous dites
"to say / to tell, ils/elles ____",ils/elles disent
"to say / to tell, infinitive ____",dire
"to sleep, je ____",je dors
"to sleep, tu ____",tu dors
"to sleep, il/elle/on ____",il/elle/on dort
"to sleep, nous ____",nous dormons
"to sleep, vous ____",vous dormez
"to sleep, ils/elles ____",ils/elles dorment
"to sleep, infinitive ____",dormir
"to write, je ____",j'écris
"to write, tu ____",tu écris
"to write, il/elle/on ____",il/elle/on écrit
"to write, nous ____",nous écrivons
"to write, vous ____",vous écrivez
"to write, ils/elles ____",ils/elles écrivent
"to write, infinitive ____",écrire
"to be, je ____",je suis
"to be, tu ____",tu es
"to be, il/elle/on ____",il/elle/on est
"to be, nous ____",nous sommes
"to be, vous ____",vous êtes
"to be, ils/elles ____",ils/elles sont
"to be, infinitive ____",être
"to do / to make, je ____",je fais
"to do / to make, tu ____",tu fais
"to do / to make, il/elle/on ____",il/elle/on fait
"to do / to make, nous ____",nous faisons
"to do / to make, vous ____",vous faites
"to do / to make, ils/elles ____",ils/elles font
"to do / to make, infinitive ____",faire
"to be necessary (impersonal), il ____",il faut
"to be necessary (impersonal), infinitive ____",falloir
"to read, je ____",je lis
"to read, tu ____",tu lis
"to read, il/elle/on ____",il/elle/on lit
"to read, nous ____",nous lisons
"to read, vous ____",vous lisez
"to read, ils/elles ____",ils/elles lisent
"to read, infinitive ____",lire
"to put, je ____",je mets
"to put, tu ____",tu mets
"to put, il/elle/on ____",il/elle/on met
"to put, nous ____",nous mettons
"to put, vous ____",vous mettez
"to put, ils/elles ____",ils/elles mettent
"to put, infinitive ____",mettre
"to open, je ____",j'ouvre
"to open, tu ____",tu ouvres
"to open, il/elle/on ____",il/elle/on ouvre
"to open, nous ____",nous ouvrons
"to open, vous ____",vous ouvrez
"to open, ils/elles ____",ils/elles ouvrent
"to open, infinitive ____",ouvrir
"to rain (usually impersonal), il ____",il pleut
"to rain (usually impersonal), infinitive ____",pleuvoir
"to be able to / can, je ____",je peux
"to be able to / can, tu ____",tu peux
"to be able to / can, il/elle/on ____",il/elle/on peut
"to be able to / can, nous ____",nous pouvons
"to be able to / can, vous ____",vous pouvez
"to be able to / can, ils/elles ____",ils/elles peuvent
"to be able to / can, infinitive ____",pouvoir
"to receive, je ____",je reçois
"to receive, tu ____",tu reçois
"to receive, il/elle/on ____",il/elle/on reçoit
"to receive, nous ____",nous recevons
"to receive, vous ____",vous recevez
"to receive, ils/elles ____",ils/elles reçoivent
"to receive, infinitive ____",recevoir
"to take, je ____",je prends
"to take, tu ____",tu prends
"to take, il/elle/on ____",il/elle/on prend
"to take, nous ____",nous prenons
"to take, vous ____",vous prenez
"to take, ils/elles ____",ils/elles prennent
"to take, infinitive ____",prendre
"to know (fact/how to), je ____",je sais
"to know (fact/how to), tu ____",tu sais
"to know (fact/how to), il/elle/on ____",il/elle/on sait
"to know (fact/how to), nous ____",nous savons
"to know (fact/how to), vous ____",vous savez
"to know (fact/how to), ils/elles ____",ils/elles savent
"to know (fact/how to), infinitive ____",savoir
"to come, je ____",je viens
"to come, tu ____",tu viens
"to come, il/elle/on ____",il/elle/on vient
"to come, nous ____",nous venons
"to come, vous ____",vous venez
"to come, ils/elles ____",ils/elles viennent
"to come, infinitive ____",venir
"to see, je ____",je vois
"to see, tu ____",tu vois
"to see, il/elle/on ____",il/elle/on voit
"to see, nous ____",nous voyons
"to see, vous ____",vous voyez
"to see, ils/elles ____",ils/elles voient
"to see, infinitive ____",voir
"to want, je ____",je veux
"to want, tu ____",tu veux
"to want, il/elle/on ____",il/elle/on veut
"to want, nous ____",nous voulons
"to want, vous ____",vous voulez
"to want, ils/elles ____",ils/elles veulent
"to want, infinitive ____",vouloir
